,avg_trip_time
"(0, 0)",49.74
"(0, 5)",55.5
"(0, 8)",50.0
"(0, 10)",25.2
"(1, 1)",34.6
"(1, 2)",37.4
"(1, 6)",28.06
"(1, 7)",40.63
"(1, 8)",27.75
"(1, 9)",55.8
"(1, 10)",28.28
"(1, 11)",34.87
"(1, 12)",35.19
"(1, 26)",53.0
"(1, 32)",48.77
"(1, 33)",14.0
"(1, 35)",30.0
"(2, 1)",36.07
"(2, 2)",40.88
"(2, 6)",36.35
"(2, 10)",41.0
"(2, 11)",31.67
"(2, 12)",54.0
"(2, 14)",38.0
"(2, 21)",62.29
"(3, 0)",30.0
"(3, 3)",49.31
"(3, 5)",45.58
"(3, 8)",30.09
"(3, 10)",24.55
"(3, 15)",43.5
"(3, 16)",49.05
"(3, 22)",39.32
"(3, 24)",20.0
"(3, 30)",28.0
"(4, 4)",60.0
"(4, 7)",38.51
"(4, 9)",49.94
"(4, 10)",50.5
"(4, 12)",37.43
"(4, 13)",65.45
"(4, 14)",37.27
"(4, 15)",25.0
"(4, 34)",42.6
"(5, 1)",33.44
"(5, 2)",37.71
"(5, 6)",25.08
"(5, 7)",43.0
"(5, 8)",25.0
"(5, 9)",37.71
"(5, 10)",43.61
"(5, 11)",32.97
"(5, 15)",45.33
"(5, 18)",38.0
"(5, 25)",58.0
"(5, 29)",35.52
"(5, 32)",57.5
"(5, 35)",22.0
"(6, 1)",32.19
"(6, 2)",48.35
"(6, 6)",23.5
"(6, 7)",32.0
"(6, 8)",43.2
"(6, 9)",57.18
"(6, 11)",35.7
"(6, 15)",29.92
"(6, 17)",31.3
"(6, 18)",30.61
"(6, 19)",34.46
"(6, 20)",38.12
"(6, 26)",24.0
"(6, 27)",6.0
"(6, 29)",6.0
"(6, 31)",34.0
"(6, 32)",50.29
"(6, 33)",32.0
"(7, 1)",36.17
"(7, 2)",34.36
"(7, 6)",34.24
"(7, 7)",50.0
"(7, 9)",47.27
"(7, 10)",14.0
"(7, 11)",35.14
"(7, 12)",26.0
"(7, 13)",30.92
"(7, 15)",44.09
"(7, 17)",37.24
"(7, 18)",34.0
"(7, 21)",58.0
"(7, 25)",28.71
"(7, 26)",34.02
"(7, 28)",45.0
"(7, 32)",48.5
"(8, 0)",49.33
"(8, 3)",47.17
