,avg_trip_time
"(0, 0)",52.33
"(0, 5)",40.0
"(0, 8)",46.0
"(0, 10)",38.4
"(1, 1)",35.63
"(1, 2)",40.83
"(1, 6)",34.18
"(1, 7)",35.16
"(1, 8)",33.4
"(1, 9)",47.47
"(1, 10)",34.94
"(1, 11)",35.1
"(1, 12)",27.8
"(1, 26)",56.5
"(1, 32)",33.08
"(1, 33)",10.0
"(1, 35)",32.0
"(2, 1)",35.78
"(2, 2)",45.8
"(2, 6)",38.93
"(2, 10)",15.33
"(2, 11)",34.9
"(2, 12)",88.0
"(2, 21)",56.67
"(3, 0)",48.0
"(3, 3)",51.12
"(3, 5)",49.4
"(3, 8)",29.39
"(3, 10)",33.67
"(3, 15)",37.67
"(3, 16)",48.64
"(3, 22)",39.07
"(3, 24)",34.0
"(3, 30)",60.0
"(4, 4)",52.0
"(4, 7)",35.08
"(4, 9)",50.41
"(4, 10)",13.2
"(4, 12)",30.58
"(4, 13)",41.0
"(4, 14)",60.0
"(4, 15)",41.0
"(4, 21)",82.0
"(4, 34)",33.17
"(5, 1)",35.54
"(5, 2)",32.83
"(5, 6)",27.18
"(5, 7)",60.0
"(5, 8)",51.0
"(5, 9)",46.29
"(5, 10)",39.19
"(5, 11)",36.52
"(5, 14)",46.0
"(5, 15)",26.4
"(5, 18)",31.2
"(5, 25)",14.0
"(5, 28)",6.0
"(5, 29)",36.69
"(5, 32)",44.0
"(5, 35)",42.0
"(6, 1)",33.11
"(6, 2)",51.49
"(6, 6)",31.0
"(6, 7)",35.64
"(6, 8)",34.0
"(6, 9)",47.41
"(6, 11)",35.99
"(6, 15)",38.5
"(6, 17)",25.65
"(6, 18)",30.07
"(6, 19)",34.61
"(6, 20)",36.55
"(6, 26)",60.0
"(6, 27)",8.0
"(6, 29)",45.0
"(6, 31)",30.0
"(6, 32)",50.53
"(6, 33)",38.0
"(7, 1)",35.43
"(7, 2)",32.79
"(7, 6)",33.56
"(7, 7)",53.33
"(7, 9)",53.0
"(7, 10)",21.0
"(7, 11)",33.21
"(7, 12)",24.67
"(7, 13)",37.3
"(7, 15)",40.67
"(7, 17)",34.46
"(7, 18)",30.0
"(7, 21)",44.0
"(7, 25)",36.3
"(7, 26)",30.89
"(7, 28)",44.0
"(7, 30)",16.0
"(7, 32)",31.33
"(7, 35)",20.0
"(8, 0)",52.73
"(8, 3)",56.79
