,avg_trip_time
"(0, 0)",50.6
"(0, 5)",47.2
"(0, 8)",10.0
"(0, 10)",27.8
"(1, 1)",37.94
"(1, 2)",46.68
"(1, 6)",33.51
"(1, 7)",36.03
"(1, 8)",25.0
"(1, 9)",57.11
"(1, 10)",26.4
"(1, 11)",35.4
"(1, 12)",32.6
"(1, 26)",28.5
"(1, 32)",35.69
"(1, 33)",18.0
"(1, 35)",17.0
"(2, 1)",35.47
"(2, 2)",47.5
"(2, 6)",32.71
"(2, 10)",54.0
"(2, 11)",30.94
"(2, 12)",36.0
"(2, 14)",60.0
"(2, 21)",54.22
"(3, 0)",26.0
"(3, 3)",52.14
"(3, 5)",45.41
"(3, 8)",32.34
"(3, 10)",41.05
"(3, 15)",50.8
"(3, 16)",45.69
"(3, 22)",35.33
"(3, 24)",70.0
"(3, 30)",6.0
"(4, 4)",18.0
"(4, 7)",36.77
"(4, 9)",47.89
"(4, 10)",29.0
"(4, 12)",33.3
"(4, 13)",60.2
"(4, 14)",60.75
"(4, 15)",14.0
"(4, 34)",30.0
"(5, 1)",39.83
"(5, 2)",39.0
"(5, 6)",29.44
"(5, 7)",37.5
"(5, 8)",28.0
"(5, 9)",54.67
"(5, 10)",37.29
"(5, 11)",26.64
"(5, 15)",23.2
"(5, 18)",45.6
"(5, 25)",14.0
"(5, 28)",38.0
"(5, 29)",30.43
"(5, 32)",43.0
"(5, 35)",22.0
"(6, 1)",31.98
"(6, 2)",55.73
"(6, 6)",44.67
"(6, 7)",28.75
"(6, 8)",36.0
"(6, 9)",60.84
"(6, 11)",35.2
"(6, 15)",33.63
"(6, 17)",41.45
"(6, 18)",29.1
"(6, 19)",31.78
"(6, 20)",30.75
"(6, 26)",28.0
"(6, 29)",20.0
"(6, 31)",6.67
"(6, 32)",50.3
"(6, 33)",28.0
"(7, 1)",35.18
"(7, 2)",41.8
"(7, 6)",27.29
"(7, 7)",42.0
"(7, 9)",49.71
"(7, 10)",34.0
"(7, 11)",32.55
"(7, 12)",28.67
"(7, 13)",32.13
"(7, 15)",41.36
"(7, 17)",34.0
"(7, 18)",62.0
"(7, 21)",20.0
"(7, 25)",30.76
"(7, 26)",29.76
"(7, 28)",46.44
"(7, 32)",44.0
"(7, 35)",16.0
"(8, 0)",53.71
"(8, 3)",52.95
