,avg_trip_time
"(0, 0)",54.3
"(0, 5)",60.8
"(0, 8)",100.0
"(0, 10)",26.36
"(1, 1)",36.2
"(1, 2)",44.07
"(1, 6)",34.16
"(1, 7)",45.56
"(1, 8)",22.89
"(1, 9)",51.54
"(1, 10)",33.17
"(1, 11)",32.7
"(1, 12)",31.66
"(1, 26)",33.6
"(1, 32)",37.33
"(1, 35)",15.0
"(2, 1)",36.02
"(2, 2)",47.04
"(2, 6)",38.38
"(2, 10)",17.0
"(2, 11)",34.94
"(2, 12)",52.0
"(2, 21)",57.33
"(3, 0)",35.0
"(3, 3)",52.57
"(3, 5)",49.33
"(3, 8)",29.44
"(3, 10)",37.71
"(3, 15)",40.29
"(3, 16)",41.71
"(3, 22)",34.81
"(3, 24)",32.5
"(3, 30)",90.0
"(4, 4)",44.67
"(4, 7)",37.5
"(4, 9)",50.9
"(4, 10)",37.5
"(4, 12)",28.84
"(4, 13)",59.75
"(4, 14)",59.0
"(4, 15)",31.0
"(4, 21)",112.0
"(4, 34)",41.4
"(5, 1)",36.39
"(5, 2)",38.91
"(5, 6)",29.0
"(5, 7)",40.0
"(5, 8)",29.0
"(5, 9)",49.0
"(5, 10)",23.36
"(5, 11)",27.47
"(5, 15)",29.2
"(5, 18)",33.0
"(5, 25)",38.0
"(5, 28)",6.0
"(5, 29)",37.86
"(5, 32)",57.0
"(6, 1)",31.05
"(6, 2)",48.96
"(6, 6)",20.0
"(6, 7)",27.11
"(6, 8)",24.5
"(6, 9)",60.84
"(6, 11)",32.58
"(6, 15)",28.17
"(6, 17)",37.55
"(6, 18)",35.25
"(6, 19)",35.93
"(6, 20)",33.55
"(6, 26)",42.0
"(6, 27)",82.0
"(6, 29)",70.0
"(6, 31)",28.0
"(6, 32)",61.0
"(6, 33)",24.0
"(7, 1)",35.1
"(7, 2)",43.0
"(7, 6)",30.89
"(7, 7)",23.0
"(7, 9)",46.0
"(7, 10)",12.0
"(7, 11)",44.26
"(7, 12)",27.33
"(7, 13)",32.03
"(7, 15)",41.52
"(7, 17)",33.21
"(7, 18)",24.0
"(7, 21)",20.0
"(7, 25)",37.1
"(7, 26)",37.88
"(7, 28)",46.8
"(7, 32)",36.67
"(7, 35)",14.0
"(8, 0)",57.2
"(8, 3)",55.56
