,avg_trip_time
"(0, 0)",51.62
"(0, 5)",37.43
"(0, 8)",22.0
"(0, 10)",44.36
"(1, 1)",38.6
"(1, 2)",39.96
"(1, 6)",31.81
"(1, 7)",42.92
"(1, 8)",34.22
"(1, 9)",64.38
"(1, 10)",33.2
"(1, 11)",36.11
"(1, 12)",26.49
"(1, 26)",29.5
"(1, 32)",20.12
"(1, 33)",20.0
"(1, 35)",46.0
"(2, 1)",38.18
"(2, 2)",49.1
"(2, 6)",32.75
"(2, 10)",34.67
"(2, 11)",31.51
"(2, 12)",14.0
"(2, 14)",144.0
"(2, 21)",44.86
"(3, 3)",47.83
"(3, 5)",52.21
"(3, 8)",27.91
"(3, 10)",31.05
"(3, 15)",20.4
"(3, 16)",39.33
"(3, 22)",37.63
"(3, 24)",30.67
"(3, 30)",30.0
"(4, 4)",41.33
"(4, 7)",35.18
"(4, 9)",50.5
"(4, 10)",64.0
"(4, 12)",30.09
"(4, 13)",40.27
"(4, 14)",62.5
"(4, 15)",87.0
"(4, 21)",30.0
"(4, 34)",34.4
"(5, 1)",40.76
"(5, 2)",39.16
"(5, 6)",23.87
"(5, 7)",22.5
"(5, 8)",12.0
"(5, 9)",56.86
"(5, 10)",32.52
"(5, 11)",33.12
"(5, 14)",46.0
"(5, 15)",32.8
"(5, 18)",50.0
"(5, 25)",48.0
"(5, 28)",56.0
"(5, 29)",39.17
"(5, 32)",62.86
"(5, 35)",6.0
"(6, 1)",31.51
"(6, 2)",50.13
"(6, 6)",38.67
"(6, 7)",22.89
"(6, 8)",42.8
"(6, 9)",67.33
"(6, 11)",34.72
"(6, 15)",39.68
"(6, 17)",37.18
"(6, 18)",34.83
"(6, 19)",28.38
"(6, 20)",37.74
"(6, 26)",15.0
"(6, 27)",28.0
"(6, 29)",44.0
"(6, 31)",32.67
"(6, 32)",53.78
"(6, 33)",40.0
"(7, 1)",34.97
"(7, 2)",35.37
"(7, 6)",35.06
"(7, 7)",25.5
"(7, 9)",46.0
"(7, 10)",6.0
"(7, 11)",40.83
"(7, 12)",32.67
"(7, 13)",33.5
"(7, 15)",40.42
"(7, 17)",31.52
"(7, 18)",44.0
"(7, 21)",49.0
"(7, 25)",30.05
"(7, 26)",33.04
"(7, 28)",29.86
"(7, 30)",24.0
"(7, 32)",48.0
"(8, 0)",50.17
"(8, 3)",45.39
