,avg_trip_time
"(0, 0)",57.72
"(0, 5)",40.4
"(0, 8)",10.0
"(0, 10)",39.78
"(1, 1)",34.91
"(1, 2)",42.81
"(1, 6)",31.26
"(1, 7)",41.36
"(1, 8)",30.18
"(1, 9)",57.33
"(1, 10)",34.12
"(1, 11)",31.93
"(1, 12)",35.35
"(1, 26)",40.67
"(1, 32)",24.8
"(1, 33)",40.0
"(1, 35)",17.0
"(2, 1)",36.03
"(2, 2)",49.03
"(2, 6)",30.25
"(2, 10)",28.0
"(2, 11)",35.61
"(2, 12)",6.0
"(2, 21)",50.67
"(3, 0)",28.0
"(3, 3)",49.23
"(3, 5)",49.1
"(3, 8)",30.0
"(3, 10)",26.3
"(3, 15)",24.67
"(3, 16)",44.86
"(3, 22)",39.64
"(3, 24)",44.0
"(3, 30)",12.0
"(4, 4)",36.0
"(4, 7)",35.43
"(4, 9)",51.13
"(4, 10)",46.67
"(4, 12)",30.59
"(4, 13)",39.11
"(4, 14)",40.29
"(4, 15)",28.0
"(4, 21)",26.0
"(4, 34)",30.55
"(5, 1)",39.68
"(5, 2)",29.83
"(5, 6)",26.71
"(5, 7)",47.5
"(5, 8)",37.0
"(5, 9)",49.16
"(5, 10)",25.73
"(5, 11)",35.0
"(5, 14)",42.0
"(5, 15)",47.33
"(5, 18)",20.5
"(5, 25)",20.0
"(5, 28)",92.0
"(5, 29)",39.38
"(5, 32)",53.8
"(5, 35)",38.0
"(6, 1)",31.29
"(6, 2)",48.1
"(6, 6)",76.5
"(6, 7)",21.6
"(6, 8)",21.67
"(6, 9)",50.62
"(6, 11)",36.3
"(6, 15)",32.0
"(6, 17)",45.25
"(6, 18)",42.32
"(6, 19)",35.95
"(6, 20)",33.27
"(6, 26)",10.0
"(6, 27)",70.0
"(6, 29)",24.0
"(6, 31)",58.67
"(6, 32)",54.64
"(6, 33)",16.0
"(7, 1)",34.16
"(7, 2)",41.43
"(7, 6)",38.12
"(7, 7)",27.0
"(7, 9)",35.8
"(7, 11)",34.2
"(7, 12)",16.0
"(7, 13)",34.1
"(7, 15)",50.08
"(7, 17)",34.32
"(7, 18)",30.0
"(7, 21)",60.0
"(7, 25)",33.0
"(7, 26)",34.32
"(7, 28)",45.07
"(7, 32)",35.5
"(8, 0)",51.6
"(8, 3)",47.6
