,avg_trip_time
"(0, 0)",58.47
"(0, 5)",50.86
"(0, 8)",8.0
"(0, 10)",24.44
"(1, 1)",37.13
"(1, 2)",46.1
"(1, 6)",36.38
"(1, 7)",35.72
"(1, 8)",24.73
"(1, 9)",51.01
"(1, 10)",32.76
"(1, 11)",36.68
"(1, 12)",28.18
"(1, 26)",52.67
"(1, 32)",33.73
"(1, 33)",38.0
"(1, 35)",30.0
"(2, 1)",35.69
"(2, 2)",45.16
"(2, 6)",22.53
"(2, 10)",11.33
"(2, 11)",36.62
"(2, 12)",40.0
"(2, 14)",56.0
"(2, 21)",65.67
"(3, 0)",50.0
"(3, 3)",51.09
"(3, 5)",49.84
"(3, 8)",30.81
"(3, 10)",37.24
"(3, 15)",66.67
"(3, 16)",45.52
"(3, 22)",33.69
"(3, 24)",10.0
"(3, 30)",34.0
"(4, 4)",34.0
"(4, 7)",34.83
"(4, 9)",50.45
"(4, 10)",31.5
"(4, 12)",33.74
"(4, 13)",50.55
"(4, 14)",35.09
"(4, 15)",48.0
"(4, 34)",25.4
"(5, 1)",37.35
"(5, 2)",32.45
"(5, 6)",35.85
"(5, 7)",24.0
"(5, 8)",12.0
"(5, 9)",62.59
"(5, 10)",32.33
"(5, 11)",29.29
"(5, 15)",36.0
"(5, 18)",33.6
"(5, 25)",52.0
"(5, 28)",42.0
"(5, 29)",41.33
"(5, 32)",53.64
"(5, 35)",22.0
"(6, 1)",32.51
"(6, 2)",49.77
"(6, 6)",28.67
"(6, 7)",25.2
"(6, 8)",23.67
"(6, 9)",55.28
"(6, 11)",36.2
"(6, 15)",36.96
"(6, 17)",34.87
"(6, 18)",38.23
"(6, 19)",33.27
"(6, 20)",35.62
"(6, 26)",39.0
"(6, 27)",46.0
"(6, 29)",21.0
"(6, 31)",35.33
"(6, 32)",54.33
"(6, 33)",46.0
"(7, 1)",35.29
"(7, 2)",41.17
"(7, 6)",28.67
"(7, 7)",23.5
"(7, 9)",32.8
"(7, 10)",16.0
"(7, 11)",33.67
"(7, 12)",18.0
"(7, 13)",32.47
"(7, 15)",43.76
"(7, 17)",34.02
"(7, 18)",26.0
"(7, 21)",16.0
"(7, 25)",41.76
"(7, 26)",27.6
"(7, 28)",51.89
"(7, 32)",39.6
"(7, 35)",42.0
"(8, 0)",52.25
"(8, 3)",44.09
