,avg_trip_time
"(0, 0)",56.38
"(0, 5)",45.2
"(0, 8)",60.0
"(0, 10)",34.91
"(1, 1)",38.08
"(1, 2)",46.25
"(1, 6)",33.72
"(1, 7)",36.14
"(1, 8)",30.0
"(1, 9)",57.97
"(1, 10)",27.15
"(1, 11)",37.2
"(1, 12)",36.24
"(1, 26)",46.8
"(1, 32)",36.53
"(1, 33)",62.0
"(1, 35)",50.0
"(2, 1)",35.1
"(2, 2)",46.58
"(2, 6)",22.11
"(2, 10)",36.0
"(2, 11)",30.88
"(2, 12)",18.0
"(2, 21)",48.0
"(3, 0)",7.33
"(3, 3)",49.91
"(3, 5)",46.42
"(3, 8)",33.05
"(3, 10)",31.3
"(3, 15)",26.0
"(3, 16)",40.8
"(3, 22)",39.07
"(3, 24)",28.67
"(3, 30)",14.0
"(4, 4)",39.0
"(4, 7)",33.2
"(4, 9)",49.73
"(4, 10)",26.0
"(4, 12)",34.0
"(4, 13)",47.0
"(4, 14)",59.43
"(4, 15)",37.0
"(4, 34)",32.55
"(5, 1)",41.16
"(5, 2)",30.96
"(5, 6)",41.0
"(5, 7)",52.8
"(5, 8)",37.0
"(5, 9)",62.93
"(5, 10)",31.45
"(5, 11)",35.23
"(5, 15)",30.4
"(5, 18)",28.0
"(5, 25)",6.0
"(5, 28)",14.0
"(5, 29)",47.2
"(5, 32)",21.6
"(5, 35)",42.0
"(6, 1)",30.44
"(6, 2)",46.58
"(6, 6)",14.5
"(6, 7)",40.22
"(6, 8)",28.0
"(6, 9)",53.05
"(6, 11)",35.37
"(6, 15)",34.41
"(6, 17)",33.09
"(6, 18)",34.07
"(6, 19)",34.07
"(6, 20)",36.88
"(6, 26)",16.0
"(6, 27)",18.0
"(6, 29)",26.0
"(6, 31)",23.0
"(6, 32)",57.05
"(6, 33)",30.0
"(7, 1)",37.27
"(7, 2)",37.44
"(7, 6)",33.18
"(7, 7)",37.0
"(7, 9)",48.55
"(7, 10)",32.0
"(7, 11)",39.76
"(7, 12)",48.0
"(7, 13)",34.32
"(7, 15)",42.08
"(7, 17)",34.89
"(7, 18)",18.0
"(7, 21)",7.0
"(7, 25)",34.2
"(7, 26)",34.72
"(7, 28)",44.47
"(7, 32)",33.71
"(7, 35)",32.0
"(8, 0)",42.75
"(8, 3)",44.56
